code_pays,pays,population,annee
2,Afghanistan,30552000,2013
202,Afrique du Sud,52776000,2013
3,Albanie,3173000,2013
4,Algérie,39208000,2013
79,Allemagne,82727000,2013
7,Angola,21472000,2013
8,Antigua-et-Barbuda,90000,2013
194,Arabie saoudite,28829000,2013
9,Argentine,41446000,2013
1,Arménie,2977000,2013
10,Australie,23343000,2013
11,Autriche,8495000,2013
52,Azerbaïdjan,9413000,2013
12,Bahamas,377000,2013
16,Bangladesh,156595000,2013
14,Barbade,285000,2013
57,Bélarus,9357000,2013
255,Belgique,11104000,2013
23,Belize,332000,2013
53,Bénin,10323000,2013
17,Bermudes,65000,2013
19,Bolivie (État plurinational de),10671000,2013
80,Bosnie-Herzégovine,3829000,2013
20,Botswana,2021000,2013
21,Brésil,200362000,2013
26,Brunéi Darussalam,418000,2013
27,Bulgarie,7223000,2013
233,Burkina Faso,16935000,2013
35,Cabo Verde,499000,2013
115,Cambodge,15135000,2013
32,Cameroun,22254000,2013
33,Canada,35182000,2013
40,Chili,17620000,2013
96,Chine - RAS de Hong-Kong,7204000,2013
128,Chine - RAS de Macao,566000,2013
41,"Chine, continentale",1385567000,2013
214,"Chine, Taiwan Province de",23330000,2013
50,Chypre,1141000,2013
44,Colombie,48321000,2013
46,Congo,4448000,2013
48,Costa Rica,4872000,2013
107,Côte d'Ivoire,20316000,2013
98,Croatie,4290000,2013
49,Cuba,11266000,2013
54,Danemark,5619000,2013
72,Djibouti,873000,2013
55,Dominique,72000,2013
59,Égypte,82056000,2013
60,El Salvador,6340000,2013
225,Émirats arabes unis,9346000,2013
58,Équateur,15738000,2013
203,Espagne,46927000,2013
63,Estonie,1287000,2013
209,Eswatini,1250000,2013
231,États-Unis d'Amérique,320051000,2013
238,Éthiopie,94101000,2013
185,Fédération de Russie,142834000,2013
66,Fidji,881000,2013
67,Finlande,5426000,2013
68,France,64291000,2013
74,Gabon,1672000,2013
75,Gambie,1849000,2013
73,Géorgie,4341000,2013
81,Ghana,25905000,2013
84,Grèce,11128000,2013
86,Grenade,106000,2013
89,Guatemala,15468000,2013
90,Guinée,11745000,2013
175,Guinée-Bissau,1704000,2013
91,Guyana,800000,2013
93,Haïti,10317000,2013
95,Honduras,8096000,2013
97,Hongrie,9955000,2013
25,Îles Salomon,561000,2013
100,Inde,1252140000,2013
101,Indonésie,249866000,2013
102,Iran (République islamique d'),77447000,2013
103,Iraq,33765000,2013
104,Irlande,4627000,2013
99,Islande,330000,2013
105,Israël,7733000,2013
106,Italie,60990000,2013
109,Jamaïque,2784000,2013
110,Japon,127144000,2013
112,Jordanie,7274000,2013
108,Kazakhstan,16441000,2013
114,Kenya,44354000,2013
113,Kirghizistan,5548000,2013
83,Kiribati,102000,2013
118,Koweït,3369000,2013
122,Lesotho,2074000,2013
119,Lettonie,2050000,2013
121,Liban,4822000,2013
123,Libéria,4294000,2013
126,Lituanie,3017000,2013
256,Luxembourg,530000,2013
154,Macédoine du Nord,2107000,2013
129,Madagascar,22925000,2013
131,Malaisie,29717000,2013
130,Malawi,16363000,2013
132,Maldives,345000,2013
133,Mali,15302000,2013
134,Malte,429000,2013
143,Maroc,33008000,2013
137,Maurice,1244000,2013
136,Mauritanie,3890000,2013
138,Mexique,122332000,2013
141,Mongolie,2839000,2013
273,Monténégro,621000,2013
144,Mozambique,25834000,2013
28,Myanmar,53259000,2013
147,Namibie,2303000,2013
149,Népal,27797000,2013
157,Nicaragua,6080000,2013
158,Niger,17831000,2013
159,Nigéria,173615000,2013
162,Norvège,5043000,2013
153,Nouvelle-Calédonie,256000,2013
156,Nouvelle-Zélande,4506000,2013
221,Oman,3632000,2013
226,Ouganda,37579000,2013
235,Ouzbékistan,28934000,2013
165,Pakistan,182143000,2013
166,Panama,3864000,2013
169,Paraguay,6802000,2013
150,Pays-Bas,16759000,2013
170,Pérou,30376000,2013
171,Philippines,98394000,2013
173,Pologne,38217000,2013
70,Polynésie française,277000,2013
174,Portugal,10608000,2013
37,République centrafricaine,4616000,2013
117,République de Corée,49263000,2013
146,République de Moldova,3487000,2013
120,République démocratique populaire lao,6770000,2013
56,République dominicaine,10404000,2013
116,République populaire démocratique de Corée,24895000,2013
215,République-Unie de Tanzanie,49253000,2013
183,Roumanie,21699000,2013
229,Royaume-Uni,63384000,2013
184,Rwanda,11777000,2013
189,Sainte-Lucie,182000,2013
188,Saint-Kitts-et-Nevis,54000,2013
191,Saint-Vincent-et-les Grenadines,109000,2013
244,Samoa,190000,2013
193,Sao Tomé-et-Principe,193000,2013
195,Sénégal,14133000,2013
272,Serbie,9511000,2013
197,Sierra Leone,6092000,2013
199,Slovaquie,5450000,2013
198,Slovénie,2072000,2013
276,Soudan,37964000,2013
38,Sri Lanka,21273000,2013
210,Suède,9571000,2013
211,Suisse,8078000,2013
207,Suriname,539000,2013
208,Tadjikistan,8208000,2013
39,Tchad,12825000,2013
167,Tchéquie (la),10702000,2013
216,Thaïlande,67011000,2013
176,Timor-Leste,1133000,2013
217,Togo,6817000,2013
220,Trinité-et-Tobago,1341000,2013
222,Tunisie,10997000,2013
213,Turkménistan,5240000,2013
223,Turquie,74933000,2013
230,Ukraine,45239000,2013
234,Uruguay,3407000,2013
155,Vanuatu,253000,2013
236,Venezuela (République bolivarienne du),30405000,2013
237,Viet Nam,91680000,2013
249,Yémen,24407000,2013
251,Zambie,14539000,2013
181,Zimbabwe,14150000,2013
